time,random_forest_1,gradient_boosting_1,ada_boosting
1987-02-01,0.1069930069930071,0.0197863983074745,0.0088858753952239
1987-03-01,0.2634032634032637,0.1151355626196823,0.0467870525823909
1987-04-01,0.2365967365967367,0.1195874487489772,0.1142587842135714
1987-05-01,0.2659673659673665,0.1566880933390105,0.1881167405264739
1987-06-01,0.3240093240093245,0.1883474307530328,0.2254624494689866
1987-07-01,0.328438228438229,0.1895840110827302,0.2497580666635975
1987-08-01,0.4072261072261078,0.214441584474162,0.4982653064573734
1987-09-01,0.4060606060606067,0.2144418317988101,0.4473146957419045
1987-10-01,0.468298368298369,0.2580964353263842,0.5000706911415195
1987-11-01,0.0207459207459212,-0.0707408749265132,0.0348473659844636
1987-12-01,-0.0599067599067594,-0.1524871114287977,-0.0351235122319834
1988-01-01,-0.073426573426573,-0.1200863476507126,-0.004719196208202
1988-02-01,-0.0216783216783212,-0.0975783294877321,-0.011938156125957
1988-03-01,0.0191142191142195,-0.0424210329816933,0.0498413908423751
1988-04-01,-0.0023310023310019,-0.0436580077685921,0.0903800132180725
1988-05-01,0.0209790209790214,-0.0021051621464156,0.1532704169146547
1988-06-01,0.0531468531468537,0.0092720367396609,0.2221307454705734
1988-07-01,0.1004662004662011,0.050454373001634,0.2768300737373648
1988-08-01,0.120279720279721,0.0838450753345835,0.3144533283594558
1988-09-01,0.0540792540792547,0.0242364116566652,0.2614197420162231
1988-10-01,0.1351981351981361,0.0873079523692435,0.3844239111896521
1988-11-01,0.1722610722610731,0.1438251201352715,0.4252401873029757
1988-12-01,0.1114219114219123,0.1340552090711565,0.4248235248449276
1989-01-01,0.1139860139860149,0.1727636773163403,0.4456481777272847
1989-02-01,0.2680652680652691,0.3102840897730858,0.6173825640294791
1989-03-01,0.2596736596736606,0.3303183422511296,0.6394566169926996
1989-04-01,0.3167832167832181,0.3753341450623227,0.6899911562441933
1989-05-01,0.3610722610722623,0.410456630254284,0.7090110852139885
1989-06-01,0.3505827505827517,0.4285125175839925,0.6963775736485222
1989-07-01,0.3871794871794882,0.4729111510359671,0.7198398278974948
1989-08-01,0.4962703962703974,0.5200295783387396,0.7688473842402742
1989-09-01,0.6585081585081598,0.5693741325912052,0.878523820020681
1989-10-01,0.5412587412587424,0.5045709171396684,0.8418724901113148
1989-11-01,0.4566433566433576,0.3833745708493746,0.705262796361144
1989-12-01,0.5191142191142202,0.4364294496724163,0.7723184145524135
1990-01-01,0.5440559440559449,0.4805799518439907,0.8514519287370536
1990-02-01,0.4715617715617726,0.4897312671912394,0.8120239269387018
1990-03-01,0.4242424242424252,0.4328429777934414,0.7895333124541978
1990-04-01,0.4608391608391617,0.4763750812559135,0.8904632354508599
1990-05-01,0.4349650349650358,0.4371716612938605,0.821047862055195
1990-06-01,0.5678321678321687,0.5401883923122979,0.8933792532172535
1990-07-01,0.6004662004662014,0.5387043331452905,0.9142039938773788
1990-08-01,0.5757575757575766,0.5092710196882317,0.8578385280051044
1990-09-01,0.4109557109557118,0.2989086207405162,0.5853131860080946
1990-10-01,0.3578088578088585,0.1542149908926504,0.3785938417362638
1990-11-01,0.3862470862470868,0.1359121828500971,0.3697088281221472
1990-12-01,0.4491841491841499,0.1579258009857034,0.3917830199987596
1991-01-01,0.4578088578088584,0.133191535406255,0.3773446517026042
1991-02-01,0.4906759906759912,0.151123819660658,0.3826202787112834
1991-03-01,0.6286713286713292,0.3053399962231545,0.5768449525668375
1991-04-01,0.8097902097902103,0.3572815042227112,0.6901312410956931
1991-05-01,0.8114219114219117,0.3399678596566386,0.686243769251633
1991-06-01,0.937296037296038,0.3587664402614626,0.693601763627485
1991-07-01,0.9461538461538468,0.3109062383458622,0.6755535001603792
1991-08-01,1.0041958041958052,0.3435549744979266,0.7027647016725757
1991-09-01,1.1013986013986026,0.386715880636706,0.7383057481714955
1991-10-01,1.0636363636363648,0.3762039125280461,0.6967954140307216
1991-11-01,1.193006993006994,0.3079383970743081,0.593366623539401
1991-12-01,1.1489510489510502,0.2254510558341193,0.4425959654276185
1992-01-01,1.3310023310023325,0.2367056744751296,0.3883133953633521
1992-02-01,1.4128205128205145,0.3356414512016625,0.519647593199933
1992-03-01,1.3319347319347337,0.3522128142258413,0.5389453658303873
1992-04-01,1.2857808857808877,0.3209241321569781,0.4982675762640489
1992-05-01,1.2703962703962723,0.4250539629319649,0.6312679670828168
1992-06-01,1.3724941724941746,0.4760066213480071,0.6347386736465944
1992-07-01,1.147086247086249,0.3768232461173369,0.514233098811161
1992-08-01,1.1997668997669018,0.2679937664946684,0.4071945051059963
1992-09-01,1.1484848484848502,0.1970072973242696,0.2897437241708853
1992-10-01,1.2384615384615405,0.2050453210528551,0.2728066089465591
1992-11-01,1.281118881118883,0.181672209977644,0.2054735178985501
1992-12-01,1.3314685314685333,0.2407862188865845,0.30098944469651
1993-01-01,1.3592074592074606,0.2874097142824327,0.3477757521274002
1993-02-01,1.1981351981351995,0.3101647319514684,0.369294331185032
1993-03-01,1.147552447552449,0.3721232689014725,0.4309353896586193
1993-04-01,1.0750582750582764,0.3890660122250626,0.4352393590815767
1993-05-01,1.162703962703964,0.3898079832891558,0.4439856100384636
1993-06-01,1.3076923076923093,0.3885713325821406,0.4600901422339984
1993-07-01,1.272494172494174,0.4541162209962906,0.5261737518842957
1993-08-01,1.342890442890445,0.5879271310257984,0.7110964924276246
1993-09-01,1.4696969696969715,0.5929981427809872,0.7410843316562211
1993-10-01,1.492307692307694,0.5573812888568919,0.6669487159091596
1993-11-01,1.6608391608391626,0.6340569563818119,0.7773198262690971
