time,equal_weighted
1987-02-01,0.004450346205791457
1987-03-01,0.04568276453571271
1987-04-01,0.06761803031913335
1987-05-01,0.09806877413487174
1987-06-01,0.11356159528926978
1987-07-01,0.13291494771318624
1987-08-01,0.203822517706539
1987-09-01,0.2009985192836416
1987-10-01,0.22817953232640537
1987-11-01,-0.0850353022960292
1987-12-01,-0.16945139629291076
1988-01-01,-0.14493050337113192
1988-02-01,-0.13686493602302752
1988-03-01,-0.08252834313074947
1988-04-01,-0.08349093628144443
1988-05-01,-0.05954218993879084
1988-06-01,-0.045642071892802165
1988-07-01,-0.002107473709937257
1988-08-01,0.021732987459449824
1988-09-01,-0.03302719986873684
1988-10-01,0.02796047726245203
1988-11-01,0.06748320361353087
1988-12-01,0.038562644160257745
1989-01-01,0.06238948708588981
1989-02-01,0.14930952954432197
1989-03-01,0.13341399638401408
1989-04-01,0.17487315076579843
1989-05-01,0.19226890380059186
1989-06-01,0.20508707461381293
1989-07-01,0.22141518767748225
1989-08-01,0.28023464738177056
1989-09-01,0.34118716522337067
1989-10-01,0.3132431013015945
1989-11-01,0.2179290320690788
1989-12-01,0.27221833344892843
1990-01-01,0.3310425905096498
1990-02-01,0.3102445296621848
1990-03-01,0.26588305771204623
1990-04-01,0.2961695259048256
1990-05-01,0.2656546557760698
1990-06-01,0.35774339872267724
1990-07-01,0.3785166234990211
1990-08-01,0.34807357705034864
1990-09-01,0.17439870193704313
1990-10-01,0.05784106347652749
1990-11-01,0.06559694686984172
1990-12-01,0.09582874839353976
1991-01-01,0.06909887791074826
1991-02-01,0.0938105917553265
1991-03-01,0.21319451493758942
1991-04-01,0.27709358546948726
1991-05-01,0.27168594102696286
1991-06-01,0.31341740776398785
1991-07-01,0.25677061666261414
1991-08-01,0.28324692373425286
1991-09-01,0.31838523590008744
1991-10-01,0.2996913737581581
1991-11-01,0.2635827336889763
1991-12-01,0.19902905515888325
1992-01-01,0.2218587019332835
1992-02-01,0.29716777933282973
1992-03-01,0.3158989828795137
1992-04-01,0.2640853324529231
1992-05-01,0.338692151463082
1992-06-01,0.3639186513420805
1992-07-01,0.25770984050687107
1992-08-01,0.19541027198964975
1992-09-01,0.1380396014128097
1992-10-01,0.1397586605208918
1992-11-01,0.15589677543273717
1992-12-01,0.2075044118743035
1993-01-01,0.24258477622674351
1993-02-01,0.2595383436651166
1993-03-01,0.3186439540407745
1993-04-01,0.3225374802609029
1993-05-01,0.3285350572172782
1993-06-01,0.3516604967868906
1993-07-01,0.4078595172089249
1993-08-01,0.5047929895075007
1993-09-01,0.5581024351501295
1993-10-01,0.5384578796306733
1993-11-01,0.6266023787224343
1993-12-01,0.6368701099586266
1994-01-01,0.7551931520219626
1994-02-01,0.8395425918022756
1994-03-01,0.7392133445609712
1994-04-01,0.6975975547121779
1994-05-01,0.7300697095194306
1994-06-01,0.626846582208586
1994-07-01,0.57036220360947
1994-08-01,0.6489996605252429
1994-09-01,0.6839135448445344
1994-10-01,0.5814447066893061
1994-11-01,0.6123043129604371
1994-12-01,0.6090254980874756
1995-01-01,0.6050605595621983
1995-02-01,0.5876592108897591
1995-03-01,0.5771253384064213
1995-04-01,0.5420174269669588
1995-05-01,0.606137773780188
1995-06-01,0.6692078426769477
1995-07-01,0.6566020181763192
1995-08-01,0.7201349195791701
1995-09-01,0.7538433708435212
1995-10-01,0.7649321640644123
1995-11-01,0.7473824251395614
1995-12-01,0.7941655550184153
1996-01-01,0.8179624815630891
1996-02-01,0.9034926231541527
1996-03-01,0.9359399394627822
1996-04-01,0.9660087912765174
1996-05-01,1.0108178010750686
1996-06-01,0.9915991163843091
1996-07-01,1.0020469421831686
1996-08-01,0.9174253183718085
1996-09-01,0.978204031343739
1996-10-01,1.0611916438456959
1996-11-01,1.0744268983197973
1996-12-01,1.188369200507615
1997-01-01,1.2231874940350047
1997-02-01,1.3741513551398796
1997-03-01,1.4595102239480635
1997-04-01,1.4315947012743155
1997-05-01,1.5644900093704222
1997-06-01,1.6369265734072638
1997-07-01,1.8067882326978093
1997-08-01,2.009787868455513
1997-09-01,1.8263973532985964
1997-10-01,2.0231826535361326
1997-11-01,1.8107571543777343
1997-12-01,1.9209831028834508
1998-01-01,2.0041928246951537
1998-02-01,2.266741023095388
1998-03-01,2.4538779552366865
1998-04-01,2.6970613210272685
1998-05-01,2.6581704177375425
1998-06-01,2.7336337739304057
1998-07-01,2.844841902517537
1998-08-01,2.7945438641119784
1998-09-01,2.2972565044020716
1998-10-01,1.9178901187896322
1998-11-01,2.3342112525822767
1998-12-01,2.3833603715109297
1999-01-01,2.631072330925182
1999-02-01,2.911976487242251
1999-03-01,2.8102902845402173
1999-04-01,2.8993810607697514
1999-05-01,3.0357245011166634
1999-06-01,2.8904034308482074
1999-07-01,3.0964547439578163
1999-08-01,2.9198616611564403
1999-09-01,3.0198337973824585
1999-10-01,2.9196292122597503
1999-11-01,3.161960136158461
1999-12-01,3.6273813642673476
2000-01-01,4.126207641572701
2000-02-01,4.084458291289921
2000-03-01,4.544784510152311
2000-04-01,4.360940660953535
2000-05-01,4.398996393756505
2000-06-01,4.2144483980880825
2000-07-01,4.144068601457084
2000-08-01,4.158813664258697
2000-09-01,4.393780752952692
2000-10-01,4.042607286172893
2000-11-01,4.186387683454868
2000-12-01,3.8776079388677482
2001-01-01,3.8073003464153805
2001-02-01,3.779008990269586
2001-03-01,3.398533036118406
2001-04-01,3.2038721809626525
2001-05-01,3.5023331463475764
2001-06-01,3.4673129878633926
2001-07-01,3.3513836864701543
2001-08-01,3.140399601986708
