time,equal_weighted,historical_average,random_forest_1,gradient_boosting_1,ada_boosting,extra_trees,epsilon_svm,nu_svm,MLP3
1987-02-01,0.004450346205791457,0.03235501938384472,0.10699342461056256,0.01978639830747455,0.008884856535704743,-0.008218345020735797,0.08673783590862226,0.07140307068918975,0.0773185410587084
1987-03-01,0.04568276453571271,0.10573938742546637,0.26340467747134,0.1151355626196823,0.04678529138070237,0.04109142651962452,0.21868085009026808,0.18482244892722324,0.20231024159417482
1987-04-01,0.06761803031913335,0.11839621642208153,0.2365981218345676,0.11958744874897723,0.11425718953367509,0.08334194958847783,0.21133888166712939,0.19221668942898965,0.1886251689442447
1987-05-01,0.09806877413487174,0.15381408955309112,0.26596895659457703,0.15668809333901051,0.18811470098210395,0.08502772649730078,0.2498943203985873,0.23772575469595125,0.21145475575096875
1987-06-01,0.11356159528926978,0.18613188260783725,0.3240113714675695,0.1883474307530328,0.22545975664848367,0.12432802855628933,0.3036633338866012,0.288259811477976,0.26261089673091453
1987-07-01,0.13291494771318624,0.19971963732747872,0.32844026709386426,0.18958401108273026,0.24975575971526603,0.1654195685833133,0.31219384737182987,0.2998955671573384,0.2719817578800193
1987-08-01,0.203822517706539,0.2827048880479528,0.4072281490009793,0.21444158447416206,0.49826206014470603,0.27267894974755563,0.4260217596400795,0.4402515538843997,0.3521856594330831
1987-09-01,0.2009985192836416,0.28160880540047717,0.4060625253938082,0.2144418317988101,0.44731133083072844,0.3040771430339819,0.4145776319119935,0.42102569355781827,0.3613352643192036
1987-10-01,0.22817953232640537,0.3176921737679138,0.46830046489668364,0.25809643532638427,0.500066990651143,0.3332626350324784,0.47485776382148676,0.47982374460285565,0.40545136910882695
1987-11-01,-0.0850353022960292,-0.03422282864089841,0.02074695157800386,-0.07074087492651324,0.034844655212233074,-0.020967427549863697,0.023657120910850198,0.02586112949956889,0.01056561518409136
1987-12-01,-0.16945139629291076,-0.11769553595248666,-0.05990591562079761,-0.1524871114287977,-0.03512636191543765,-0.10546850036046959,-0.05479020650585395,-0.050916571234708156,-0.07117787176310224
1988-01-01,-0.14493050337113192,-0.097418658837108,-0.07342574965275164,-0.12008634765071269,-0.004722404287744359,-0.08629244414806554,-0.05924158571153805,-0.04850242901202842,-0.07661776537967818
1988-02-01,-0.13686493602302752,-0.07926354402119724,-0.02167743331754875,-0.09757832948773212,-0.01194165664448967,-0.12443380308976054,-0.019667655116231322,-0.01814542163147075,-0.03979047481285634
1988-03-01,-0.08252834313074947,-0.029756306759533478,0.019115150192529073,-0.042421032981693314,0.04983818689951289,-0.058476609990648826,0.02545788183891865,0.03026053584313551,0.003992255286163532
1988-04-01,-0.08349093628144443,-0.031687899182702,-0.002330057818954027,-0.04365800776859217,0.0903765240315431,-0.0814457361637888,0.01680974639351287,0.03130080581689415,-0.01366846856484282
1988-05-01,-0.05954218993879084,-0.003931948581833753,0.02098012338073619,-0.002105162146415683,0.1532666041820944,-0.055947940417532656,0.04829147876117065,0.06896916772810271,0.008713339980456543
1988-06-01,-0.045642071892802165,0.015859868254541457,0.053147811908628335,0.009272036739660948,0.22212657006785766,-0.027921441800072253,0.0880347532127491,0.11444765065413154,0.03250447348664055
1988-07-01,-0.002107473709937257,0.061792696323811666,0.10046727896620662,0.05045437300163408,0.27682584039669866,0.010219959810535972,0.13687777981644048,0.16444422288811086,0.07924510923541347
1988-08-01,0.021732987459449824,0.08594651244498062,0.12028085973153026,0.08384507533458352,0.3144489972677965,0.03308370077266167,0.16036825802500987,0.19071844918129527,0.0982703432326928
1988-09-01,-0.03302719986873684,0.027414166985001473,0.05408024385183409,0.02423641165666521,0.26141554612599477,-0.009588282126549734,0.09688622953268608,0.12929449286443453,0.0409470317019181
1988-10-01,0.02796047726245203,0.0948764435877859,0.13519917914552596,0.08730795236924357,0.3844193737340875,0.03550704235654714,0.1866527026507662,0.22560787652050476,0.11016923587955144
1988-11-01,0.06748320361353087,0.1332659134178413,0.17226212737813845,0.14382512013527157,0.4252356345405284,0.06932851178512661,0.22449055801897727,0.26403240628539765,0.14288666683888818
1988-12-01,0.038562644160257745,0.09803882923691579,0.11142265669337434,0.1340552090711565,0.4248189037998496,0.028447688861169156,0.17612615677144006,0.2251123838934844,0.08926453978316067
1989-01-01,0.06238948708588981,0.11833800847759779,0.11398684060138582,0.17276367731634032,0.4456435791397395,0.06669443252354545,0.18246030173280875,0.23430074888530997,0.0975158295063079
1989-02-01,0.14930952954432197,0.23230165286660026,0.26806662181287627,0.3102840897730858,0.6173766234954309,0.12348499246338249,0.3401845240978235,0.39478450029412054,0.22968636808075754
1989-03-01,0.13341399638401408,0.21870325069308758,0.25967515160196,0.33031834225112966,0.6394506473952801,0.10409811946818459,0.33808282061568073,0.3974447519017359,0.21423998975025815
1989-04-01,0.17487315076579843,0.2661999943991123,0.3167848597412689,0.3753341450623227,0.6899848322058912,0.1390786003806983,0.3938349026929139,0.4521691181021092,0.265729905665055
1989-05-01,0.19226890380059186,0.2911604784683792,0.36107410963564984,0.410456630254284,0.7090045166374639,0.15256503700053856,0.4329069133693575,0.4872914220464882,0.3054029009307316
1989-06-01,0.20508707461381293,0.3027581375291126,0.3505848708979405,0.4285125175839925,0.6963709505925304,0.1877562303135179,0.4219747327271872,0.47602410511579146,0.3075956941827113
1989-07-01,0.22141518767748225,0.3185686397575665,0.3871815061872747,0.4729111510359671,0.7198335435209937,0.15783316927868393,0.4558597864195596,0.507856200552974,0.33841983582215085
