time,equal_weighted,historical_average,linear_regression_1,ridge_regression_1,lasso_regression_1,Elastic_Net_1,bridge_regression_1,pls_regression_1,canonical_pls_1,cca_regression_1,random_forest_1,gradient_boosting_1,ada_boosting
1987-02-01,0.0044503462057914,0.0323550193838447,0.0278031461146476,0.1069930069930071,0.0927355963324827,0.0927355963324827,0.1065145970633945,-0.0073474238220817,0.0024763174000687,0.064695534504878,0.1069930069930071,0.0197863983074745,0.0088858753952239
1987-03-01,0.0456827645357127,0.1057393874254663,0.0952106107330044,0.2634032634032637,0.2332532944609393,0.2332532944609393,0.2614820070312193,0.0413815171231115,0.05556437666779,0.1736064193296062,0.2634032634032637,0.1151355626196823,0.0467870525823909
1987-04-01,0.0676180303191333,0.1183962164220815,0.1049979801619295,0.2365967365967367,0.2186271628636686,0.2186271628636686,0.2354505560498991,0.0849163082942806,0.0645522349116811,0.1702647459060123,0.2365967365967367,0.1195874487489772,0.1142587842135714
1987-05-01,0.0980687741348717,0.1538140895530911,0.1308971298873607,0.2659673659673665,0.2528536064818548,0.2528536064818548,0.2652214034349249,0.090277037379826,0.0832243430690223,0.2014808385765162,0.2659673659673665,0.1566880933390105,0.1881167405264739
1987-06-01,0.1135615952892697,0.1861318826078372,0.1523244083434848,0.3240093240093245,0.3070197853675189,0.3070197853675189,0.3229136705379988,0.1294778893043653,0.108534761448677,0.2406278519737874,0.3240093240093245,0.1883474307530328,0.2254624494689866
1987-07-01,0.1329149477131862,0.1997196373274787,0.1784449328519343,0.328438228438229,0.3132374876988204,0.3132374876988204,0.3276763421283911,0.1697142123969473,0.1222784645020624,0.2619250694204887,0.328438228438229,0.1895840110827302,0.2497580666635975
1987-08-01,0.203822517706539,0.2827048880479528,0.2445609876456637,0.4072261072261078,0.4093195740319991,0.4093195740319991,0.4066877061759861,0.2841658916516177,0.1841136107022486,0.3194807676639002,0.4072261072261078,0.214441584474162,0.4982653064573734
1987-09-01,0.2009985192836416,0.2816088054004771,0.232779546246355,0.4060606060606067,0.4022410477537876,0.4022410477537876,0.4050388451766633,0.3113709445692448,0.1968033052188595,0.3200610695994431,0.4060606060606067,0.2144418317988101,0.4473146957419045
1987-10-01,0.2281795323264053,0.3176921737679138,0.2731561600359374,0.468298368298369,0.4619147267976915,0.4619147267976915,0.4674338934592652,0.3417566558251974,0.2001201769081517,0.371633798726617,0.468298368298369,0.2580964353263842,0.5000706911415195
1987-11-01,-0.0850353022960292,-0.0342228286408984,-0.0818932066068946,0.0207459207459212,0.0160290998814905,0.0160290998814905,0.0214156400235135,-0.0181252636609199,-0.0689273419993389,-0.0351583115627186,0.0207459207459212,-0.0707408749265132,0.0348473659844636
1987-12-01,-0.1694513962929107,-0.1176955359524866,-0.1738174227489295,-0.0599067599067594,-0.0641694821170701,-0.0641694821170701,-0.0597687395151273,-0.1018865076928394,-0.157183150796403,-0.1217856656863536,-0.0599067599067594,-0.1524871114287977,-0.0351235122319834
1988-01-01,-0.1449305033711319,-0.097418658837108,-0.1587826834197306,-0.073426573426573,-0.0730092916915119,-0.0730092916915119,-0.0713673611067827,-0.082138733993301,-0.1511869015404848,-0.1090666696579901,-0.073426573426573,-0.1200863476507126,-0.004719196208202
1988-02-01,-0.1368649360230275,-0.0792635440211972,-0.1425009088855109,-0.0216783216783212,-0.0296435922296479,-0.0296435922296479,-0.02035625842235,-0.1187056131409185,-0.1345167677470124,-0.0710634275293405,-0.0216783216783212,-0.0975783294877321,-0.011938156125957
1988-03-01,-0.0825283431307494,-0.0297563067595334,-0.0861943261598828,0.0191142191142195,0.0142389210581358,0.0142389210581358,0.0205290508787071,-0.0529610988101363,-0.0802072626498127,-0.0273729062268073,0.0191142191142195,-0.0424210329816933,0.0498413908423751
1988-04-01,-0.0834909362814444,-0.031687899182702,-0.0963645822843647,-0.0023310023310019,3.763638248153534e-05,3.763638248153534e-05,-0.0001118003919095,-0.0726964919389146,-0.0867655585049619,-0.0403378789628798,-0.0023310023310019,-0.0436580077685921,0.0903800132180725
1988-05-01,-0.0595421899387908,-0.0039319485818337,-0.0751570796147492,0.0209790209790214,0.0274332242718014,0.0274332242718014,0.0236126431375186,-0.0452946674263741,-0.0673917202798575,-0.0183569339681731,0.0209790209790214,-0.0021051621464156,0.1532704169146547
1988-06-01,-0.0456420718928021,0.0158598682545414,-0.0608632553463746,0.0531468531468537,0.0633317030628085,0.0633317030628085,0.0552716632052495,-0.0151889189956994,-0.0665663118115309,0.0054811352245635,0.0531468531468537,0.0092720367396609,0.2221307454705734
1988-07-01,-0.0021074737099372,0.0617926963238116,-0.0202229364070108,0.1004662004662011,0.1116179993866547,0.1116179993866547,0.1022924389312261,0.0237955919941468,-0.0203958296370721,0.0499054276248896,0.1004662004662011,0.050454373001634,0.2768300737373648
1988-08-01,0.0217329874594498,0.0859465124449806,0.0047841398521655,0.120279720279721,0.133032309857029,0.133032309857029,0.1225557463826307,0.0474108898063332,-0.0021265061001524,0.0743260300905854,0.120279720279721,0.0838450753345835,0.3144533283594558
1988-09-01,-0.0330271998687368,0.0274141669850014,-0.0562478188039241,0.0540792540792547,0.0692372914095836,0.0692372914095836,0.0562221329758293,0.0042112928158487,-0.045642847893896,0.0037729398412909,0.0540792540792547,0.0242364116566652,0.2614197420162231
1988-10-01,0.027960477262452,0.0948764435877859,0.0086495415213229,0.1351981351981361,0.1540358695484071,0.1540358695484071,0.1372410524209954,0.0532736703145791,0.0022255704093904,0.0718377862336117,0.1351981351981361,0.0873079523692435,0.3844239111896521
