Portfolio,MSE,MAE,R2,MAPE
Linear Regression,0.0010757652749881022,0.0022035413255670207,0.009222076634828633,0.18711743299370479
Ridge Regression,0.0009933214425633227,0.002070088239980147,0.009069968152234365,0.0824551450182372
Lasso Regression,0.0010502810595404443,0.002185164010151443,0.00925564374356578,0.15250357138838397
Bayesian Regression,0.0009939843981304007,0.0020710578291516404,0.009073322431031821,0.08514522753123135
