time,equal_weighted,historical_average,pls_regression_1,canonical_pls_1,cca_regression_1
1987-02-01,0.004450346205791457,0.03235501938384472,-0.007347423822081719,0.0024763174000687017,0.06469553450487807
1987-03-01,0.04568276453571271,0.10573938742546637,0.04138151712311158,0.05556437666779001,0.17360641932960627
1987-04-01,0.06761803031913335,0.11839621642208153,0.08491630829428061,0.06455223491168116,0.17026474590601232
1987-05-01,0.09806877413487174,0.15381408955309112,0.09027703737982604,0.08322434306902236,0.2014808385765162
1987-06-01,0.11356159528926978,0.18613188260783725,0.1294778893043653,0.10853476144867703,0.24062785197378742
1987-07-01,0.13291494771318624,0.19971963732747874,0.1697142123969473,0.1222784645020624,0.26192506942048877
1987-08-01,0.203822517706539,0.2827048880479528,0.28416589165161776,0.18411361070224863,0.31948076766390027
1987-09-01,0.2009985192836416,0.28160880540047717,0.3113709445692448,0.19680330521885955,0.32006106959944314
1987-10-01,0.22817953232640537,0.3176921737679138,0.34175665582519743,0.2001201769081517,0.37163379872661706
1987-11-01,-0.0850353022960292,-0.03422282864089841,-0.0181252636609199,-0.06892734199933898,-0.0351583115627186
1987-12-01,-0.16945139629291076,-0.11769553595248666,-0.10188650769283945,-0.15718315079640308,-0.12178566568635366
1988-01-01,-0.14493050337113192,-0.097418658837108,-0.08213873399330104,-0.1511869015404848,-0.10906666965799013
1988-02-01,-0.13686493602302752,-0.07926354402119724,-0.1187056131409185,-0.13451676774701246,-0.07106342752934054
1988-03-01,-0.08252834313074947,-0.02975630675953348,-0.052961098810136345,-0.08020726264981277,-0.027372906226807357
1988-04-01,-0.08349093628144443,-0.031687899182702,-0.07269649193891467,-0.0867655585049619,-0.040337878962879846
1988-05-01,-0.05954218993879084,-0.003931948581833753,-0.04529466742637418,-0.0673917202798575,-0.0183569339681731
1988-06-01,-0.045642071892802165,0.01585986825454146,-0.015188918995699428,-0.06656631181153094,0.005481135224563543
1988-07-01,-0.002107473709937257,0.061792696323811666,0.023795591994146856,-0.02039582963707211,0.049905427624889614
1988-08-01,0.021732987459449824,0.08594651244498062,0.04741088980633322,-0.002126506100152404,0.07432603009058546
1988-09-01,-0.03302719986873684,0.027414166985001473,0.0042112928158487845,-0.045642847893896,0.0037729398412909877
1988-10-01,0.02796047726245203,0.0948764435877859,0.05327367031457911,0.002225570409390492,0.0718377862336117
1988-11-01,0.06748320361353087,0.1332659134178413,0.08745135227621187,0.035052716677603526,0.11128187565150667
1988-12-01,0.038562644160257745,0.09803882923691577,0.04863091025895814,0.004856721301546906,0.06251726492143173
1989-01-01,0.06238948708588981,0.11833800847759779,0.08599055913168616,0.021387441657245636,0.07618340962151016
1989-02-01,0.14930952954432197,0.23230165286660023,0.1486339714301468,0.10762727286461525,0.20602928190608427
1989-03-01,0.13341399638401408,0.21870325069308758,0.13135832107991757,0.09048428989091573,0.19819007305415762
1989-04-01,0.17487315076579843,0.26619999439911224,0.167130818272251,0.12909808819902957,0.2449185035363939
1989-05-01,0.19226890380059186,0.2911604784683792,0.1808990323655578,0.1585279107292672,0.2733811986142567
1989-06-01,0.20508707461381293,0.3027581375291126,0.2136550855891329,0.1812439332154454,0.27838867862447564
1989-07-01,0.22141518767748225,0.31856863975756655,0.18645032346545462,0.22531524924073593,0.30157611440233834
1989-08-01,0.28023464738177056,0.38046996372926534,0.19004569370010527,0.2725598540870344,0.3946528213490323
1989-09-01,0.34118716522337067,0.46531815283213096,0.23432951856643752,0.3381898190619027,0.5085142099272772
1989-10-01,0.3132431013015945,0.41823011997971227,0.19716397268926508,0.3028032405427494,0.4300492921278271
1989-11-01,0.2179290320690788,0.31794506492532937,0.10290970119775883,0.2170810244476566,0.3431692844695555
1989-12-01,0.27221833344892843,0.3758150182157425,0.12442371899349366,0.28480449519273915,0.4032533331826099
1990-01-01,0.3310425905096498,0.42958893664199016,0.18935190422380363,0.3429534875291762,0.4388928589859876
1990-02-01,0.3102445296621848,0.39856892852004777,0.17864445171710058,0.3188855894779222,0.395392467529599
1990-03-01,0.26588305771204623,0.3568876123956125,0.14539989081738075,0.28046935516853916,0.35117713910703807
1990-04-01,0.2961695259048256,0.38996134097358615,0.17453865238802627,0.32176228255338657,0.38104564348323683
1990-05-01,0.2656546557760698,0.357151161045444,0.14170468081552945,0.2912007087857925,0.3504426112798675
1990-06-01,0.35774339872267724,0.46232975940578036,0.20648647625235864,0.3724810276419573,0.4746250964115624
1990-07-01,0.3785166234990211,0.4844011023686948,0.17394750381180313,0.38680782983795603,0.5016778283884926
1990-08-01,0.34807357705034864,0.45275811774202307,0.15227782044210844,0.3568990790624355,0.45878189790100027
1990-09-01,0.17439870193704313,0.27582231959192505,0.0011038872598095884,0.20202247741342863,0.28813734489896276
1990-10-01,0.05784106347652749,0.16685078319201296,-0.10072020030860421,0.10750182817286759,0.2104028495797921
1990-11-01,0.06559694686984172,0.17767369443192033,-0.12097223211236832,0.12625958449182337,0.22329657509506917
1990-12-01,0.09582874839353976,0.21858541150689398,-0.08334896529379551,0.1690576690177772,0.2632593480377849
1991-01-01,0.06909887791074826,0.2007134030517971,-0.095983916872955,0.14216530642524208,0.25953964499437504
1991-02-01,0.0938105917553265,0.22896344001061353,-0.06291593805010777,0.1694104927491638,0.2816568371174971
1991-03-01,0.21319451493758942,0.3578078538484397,0.02787213573894912,0.27141317883794025,0.40806853830052536
1991-04-01,0.27709358546948726,0.4512493958467216,0.08363953430025851,0.34284070922574067,0.5371985789302123
1991-05-01,0.27168594102696286,0.4485172894432172,0.10974108079620712,0.3395587451586117,0.5298807950343598
