time,equal_weighted,historical_average,linear_regression_1,ridge_regression_1,lasso_regression_1,Bayesian Regression
1987-02-01,0.004450346205791457,0.03235501938384472,0.016790381416605885,0.10699300699300718,0.09273559633248274,0.0904023557936281
1987-03-01,0.04568276453571271,0.10573938742546637,0.07490524039657559,0.2634032634032637,0.2332532944609393,0.2314132876691867
1987-04-01,0.06761803031913335,0.11839621642208153,0.08794338209519766,0.23659673659673675,0.21862716286366865,0.21453651709624727
1987-05-01,0.09806877413487174,0.15381408955309112,0.11343383513308822,0.2659673659673665,0.2528536064818548,0.23999193278129285
1987-06-01,0.11356159528926978,0.18613188260783725,0.13018060853698823,0.3240093240093245,0.3070197853675189,0.2952555775130283
1987-07-01,0.13291494771318624,0.19971963732747874,0.15607258545882413,0.328438228438229,0.3132374876988204,0.3048481416815656
1987-08-01,0.203822517706539,0.2827048880479528,0.22073308486838225,0.40722610722610786,0.40931957403199914,0.38758987340932677
1987-09-01,0.2009985192836416,0.28160880540047717,0.2065704501112214,0.4060606060606067,0.4022410477537876,0.39099339011030415
1987-10-01,0.22817953232640537,0.3176921737679138,0.24285759682098754,0.468298368298369,0.4619147267976915,0.4484345316266815
1987-11-01,-0.0850353022960292,-0.03422282864089841,-0.09786366277550677,0.020745920745921298,0.016029099881490573,0.014366018091405128
1987-12-01,-0.16945139629291076,-0.11769553595248666,-0.1903964793878215,-0.05990675990675942,-0.0641694821170701,-0.0668845944197033
1988-01-01,-0.14493050337113192,-0.097418658837108,-0.1761886804354506,-0.073426573426573,-0.07300929169151191,-0.07577984060118233
1988-02-01,-0.13686493602302752,-0.07926354402119724,-0.16441307044074452,-0.02167832167832129,-0.02964359222964793,-0.03691161284841973
1988-03-01,-0.08252834313074947,-0.02975630675953348,-0.10517462916049,0.01911421911421951,0.014238921058135855,0.0075064756926413855
1988-04-01,-0.08349093628144443,-0.031687899182702,-0.11475977603901406,-0.002331002331001919,3.763638248153534e-05,-0.014112099625424963
1988-05-01,-0.05954218993879084,-0.003931948581833753,-0.09409624900511879,0.02097902097902149,0.027433224271801462,0.009493674813799917
1988-06-01,-0.045642071892802165,0.01585986825454146,-0.08269541567216133,0.053146853146853745,0.06333170306280858,0.04105790479671974
1988-07-01,-0.002107473709937257,0.061792696323811666,-0.04195753604837485,0.10046620046620114,0.11161799938665479,0.08709085398802392
1988-08-01,0.021732987459449824,0.08594651244498062,-0.017427606046695774,0.120279720279721,0.13303230985702905,0.10731186035410582
1988-09-01,-0.03302719986873684,0.027414166985001473,-0.07625085117196885,0.054079254079254735,0.06923729140958361,0.04451738417342294
1988-10-01,0.02796047726245203,0.0948764435877859,-0.012759033242952819,0.13519813519813617,0.15403586954840712,0.12047240110776922
1988-11-01,0.06748320361353087,0.1332659134178413,0.03426731445726021,0.17226107226107312,0.19150506424674785,0.15707653134544067
1988-12-01,0.038562644160257745,0.09803882923691577,-0.009038249040111681,0.11142191142191238,0.1376342127390806,0.09909725759335518
1989-01-01,0.06238948708588981,0.11833800847759779,0.00943555224239532,0.11398601398601493,0.14316836035217817,0.10678925792291977
1989-02-01,0.14930952954432197,0.23230165286660023,0.0886165852256486,0.2680652680652691,0.29634757292009434,0.24688144171117166
1989-03-01,0.13341399638401408,0.21870325069308758,0.07915514816232064,0.25967365967366063,0.2911322643268171,0.23692479673314806
1989-04-01,0.17487315076579843,0.26619999439911224,0.12485058382843263,0.3167832167832181,0.3472429102632546,0.29087936454193847
1989-05-01,0.19226890380059186,0.2911604784683792,0.14890198604482238,0.3610722610722623,0.3878649664558592,0.33073591071905434
1989-06-01,0.20508707461381293,0.3027581375291126,0.15626413160471608,0.3505827505827517,0.3784040862860899,0.3268095417349354
1989-07-01,0.22141518767748225,0.31856863975756655,0.18358098316914684,0.38717948717948825,0.4130043737351259,0.3539445237381709
1989-08-01,0.28023464738177056,0.38046996372926534,0.2597085489882803,0.4962703962703974,0.5140420348550347,0.447635227755452
1989-09-01,0.34118716522337067,0.46531815283213096,0.34015789704201116,0.6585081585081598,0.6674842483171901,0.5924390601107239
1989-10-01,0.3132431013015945,0.41823011997971227,0.2919601307694676,0.5412587412587424,0.5620075509140829,0.48675784066431027
1989-11-01,0.2179290320690788,0.31794506492532937,0.19623718986014504,0.45664335664335765,0.47216536398154113,0.4011285675795545
1989-12-01,0.27221833344892843,0.3758150182157425,0.23870769157094796,0.5191142191142202,0.5355264694333527,0.457485045571179
1990-01-01,0.3310425905096498,0.42958893664199016,0.29397634871553896,0.5440559440559449,0.5669923580180805,0.48803161543138035
1990-02-01,0.3102445296621848,0.39856892852004777,0.2596125721617598,0.4715617715617726,0.49974085696823617,0.42463059164239475
1990-03-01,0.26588305771204623,0.3568876123956125,0.20988845264405423,0.4242424242424252,0.4549881502439868,0.37921373736210556
1990-04-01,0.2961695259048256,0.38996134097358615,0.2535641498471652,0.46083916083916177,0.49895288731681425,0.4142418493153994
1990-05-01,0.2656546557760698,0.357151161045444,0.22989010650958955,0.4349650349650358,0.46867758836855133,0.38768271446420577
1990-06-01,0.35774339872267724,0.46232975940578036,0.3168267765381868,0.5678321678321687,0.5928562201329762,0.5106890778874934
1990-07-01,0.3785166234990211,0.4844011023686948,0.34174588421283214,0.6004662004662014,0.6238191313655499,0.5336605694667148
1990-08-01,0.34807357705034864,0.45275811774202307,0.3109907744335484,0.5757575757575766,0.5955444206380809,0.5096342304840867
1990-09-01,0.17439870193704313,0.27582231959192505,0.1254101213369034,0.4109557109557118,0.4192645682542819,0.34769433905500274
