time,pls_regression_1,pls_regression_316,canonical_pls_1,cca_regression_1
1987-02-01,-0.0073474238220817,-0.0436130813850984,0.0024763174000687,0.064695534504878
1987-03-01,0.0413815171231115,-0.0452461654430552,0.05556437666779,0.1736064193296062
1987-04-01,0.0849163082942806,-0.019677790961723,0.0645522349116811,0.1702647459060123
1987-05-01,0.090277037379826,-0.0162328083029467,0.0832243430690223,0.2014808385765162
1987-06-01,0.1294778893043653,-0.0536805472960684,0.108534761448677,0.2406278519737874
1987-07-01,0.1697142123969473,-0.0112470451943511,0.1222784645020624,0.2619250694204887
1987-08-01,0.2841658916516177,0.0203946703744047,0.1841136107022486,0.3194807676639002
1987-09-01,0.3113709445692448,0.002895531276019,0.1968033052188595,0.3200610695994431
1987-10-01,0.3417566558251974,0.029098337647472,0.2001201769081517,0.371633798726617
1987-11-01,-0.0181252636609199,-0.2077282213448343,-0.0689273419993389,-0.0351583115627186
1987-12-01,-0.1018865076928394,-0.2658477032091278,-0.157183150796403,-0.1217856656863536
1988-01-01,-0.082138733993301,-0.2454473468686315,-0.1511869015404848,-0.1090666696579901
1988-02-01,-0.1187056131409185,-0.2458096480218838,-0.1345167677470124,-0.0710634275293405
1988-03-01,-0.0529610988101363,-0.1843353998972078,-0.0802072626498127,-0.0273729062268073
1988-04-01,-0.0726964919389146,-0.1886878959208969,-0.0867655585049619,-0.0403378789628798
1988-05-01,-0.0452946674263741,-0.1706453246989615,-0.0673917202798575,-0.0183569339681731
1988-06-01,-0.0151889189956994,-0.195127412774825,-0.0665663118115309,0.0054811352245635
1988-07-01,0.0237955919941468,-0.1500643397979722,-0.0203958296370721,0.0499054276248896
1988-08-01,0.0474108898063332,-0.1258557844158536,-0.0021265061001524,0.0743260300905854
1988-09-01,0.0042112928158487,-0.1685612427923162,-0.045642847893896,0.0037729398412909
1988-10-01,0.0532736703145791,-0.1038234631690143,0.0022255704093904,0.0718377862336117
1988-11-01,0.0874513522762118,-0.0831510506261431,0.0350527166776035,0.1112818756515066
1988-12-01,0.0486309102589581,-0.1045494238392645,0.0048567213015469,0.0625172649214317
1989-01-01,0.0859905591316861,-0.0764420181156971,0.0213874416572456,0.0761834096215101
1989-02-01,0.1486339714301468,-0.0506935732318792,0.1076272728646152,0.2060292819060842
1989-03-01,0.1313583210799175,-0.0886853162266964,0.0904842898909157,0.1981900730541576
1989-04-01,0.167130818272251,-0.072093027533535,0.1290980881990295,0.2449185035363939
1989-05-01,0.1808990323655578,-0.0642956565049473,0.1585279107292672,0.2733811986142567
1989-06-01,0.2136550855891329,-0.0955770259299259,0.1812439332154454,0.2783886786244756
1989-07-01,0.1864503234654546,-0.0555004712525178,0.2253152492407359,0.3015761144023383
1989-08-01,0.1900456937001052,0.0355329981203015,0.2725598540870344,0.3946528213490323
1989-09-01,0.2343295185664375,0.0909321709302443,0.3381898190619027,0.5085142099272772
1989-10-01,0.197163972689265,0.0805964500333237,0.3028032405427494,0.4300492921278271
1989-11-01,0.1029097011977588,0.0175818163010745,0.2170810244476566,0.3431692844695555
1989-12-01,0.1244237189934936,0.0688106107341727,0.2848044951927391,0.4032533331826099
1990-01-01,0.1893519042238036,0.1204924491594245,0.3429534875291762,0.4388928589859876
1990-02-01,0.1786444517171005,0.0892109917394078,0.3188855894779222,0.395392467529599
1990-03-01,0.1453998908173807,-0.0011874628586594,0.2804693551685391,0.351177139107038
1990-04-01,0.1745386523880262,0.0298207984770599,0.3217622825533865,0.3810456434832368
1990-05-01,0.1417046808155294,0.0134100534960318,0.2912007087857925,0.3504426112798675
1990-06-01,0.2064864762523586,0.0980960167913555,0.3724810276419573,0.4746250964115624
1990-07-01,0.1739475038118031,0.125479080837215,0.386807829837956,0.5016778283884926
1990-08-01,0.1522778204421084,0.1215806016285911,0.3568990790624355,0.4587818979010002
1990-09-01,0.0011038872598095,-0.0204975505731255,0.2020224774134286,0.2881373448989627
1990-10-01,-0.1007202003086042,-0.1180571054532262,0.1075018281728675,0.2104028495797921
1990-11-01,-0.1209722321123683,-0.1053625994039903,0.1262595844918233,0.2232965750950691
1990-12-01,-0.0833489652937955,-0.0891325182075409,0.1690576690177772,0.2632593480377849
1991-01-01,-0.095983916872955,-0.1305691170996019,0.142165306425242,0.259539644994375
1991-02-01,-0.0629159380501077,-0.0874097536859089,0.1694104927491638,0.2816568371174971
1991-03-01,0.0278721357389491,-0.0004585761695076,0.2714131788379402,0.4080685383005253
1991-04-01,0.0836395343002585,0.0218456254813161,0.3428407092257406,0.5371985789302123
1991-05-01,0.1097410807962071,0.0182187752511477,0.3395587451586117,0.5298807950343598
1991-06-01,0.1661146385134938,0.0533087110318172,0.4006779954194114,0.6110413127294023
1991-07-01,0.1016969081045169,-0.0134249630182832,0.3516331392021252,0.5865441771591047
1991-08-01,0.1290819386832465,-0.0181401502652563,0.3815727373477747,0.6351264510296314
1991-09-01,0.161291028414924,-0.0363652823677594,0.4295091926926803,0.7127252620322666
1991-10-01,0.14467765382138,-0.0627499793474419,0.4198700449545111,0.6923576815962645
1991-11-01,0.0990119719382647,-0.102009037048714,0.4029110087618052,0.7524060087287839
1991-12-01,0.0516357135052834,-0.109533056171479,0.3527901399376306,0.7000379802301541
1992-01-01,0.070671265837627,-0.0933021764195097,0.4026739271441459,0.8118601948360585
1992-02-01,0.1471572567336572,-0.0217646088452803,0.4691764723401554,0.8904264486522153
1992-03-01,0.1681394670142227,-0.0183193408072654,0.4808623160290256,0.8704042057042953
1992-04-01,0.1572683945893049,-0.0773463584013659,0.4308193990059892,0.815621809176887
