Portfolio,MSE,MAE,R2,MAPE
PLS,0.0026433490903046077,0.0031685062881567044,0.008464560820847239,0.1749149164331292
PLS Canonical,0.0009718957462424307,0.0020040811774530267,0.009194635623708229,0.08294689186211349
CCA,0.002157811974586605,0.0029555049554740105,0.008688823250454664,0.12122059610530797
