Portfolio,MSE,MAE,R2,MAPE
Random Forest,0.0020278597955256795,0.0028661941131112316,0.007889329750343607,0.13010834988911393
Gradient Boosting,0.0018270469499296266,0.0026968544382332616,0.008780017962691053,0.18949962067227777
Ada Boosting,0.0016374598685211703,0.0026492958596417244,0.008944890301773289,0.2328287739572184
Extra Trees,0.003649976508929126,0.004136091663144308,0.007267069889409268,0.1670448469295447
Epsilon SVM,0.005001436283209552,0.003388009750652115,0.00829776571059808,0.13489480229196282
Nu SVM,0.0015228821176032838,0.002387632378461197,0.00912021883208346,0.1410141330995097
MLP3,0.0011934944991124773,0.002331872782081435,0.009087583412729822,0.16428802089464095
